"row","Id","Attrition","Age","CivilStatus","Education","Salary","ContractType","MonthsAtCompany","NumSalaryChanges","NumJobPositionChanges","HadPromotion","Occupation","Insalubrity","Periculosity","UnionMember","Stability","HomeDistance","HomeTime","HasDependents"
"1749",10182,"No",39,"United","5",14.2,"10",0,0,0,"No","23","No","No","No","No",11,16,"No"
"1750",10085,"No",36,"United","5",13.99,"1",1,0,0,"No","23","No","No","Yes","No",6,20,"Yes"
"1751",10087,"No",36,"Single","3",5.34,"1",1,0,0,"No","21","Yes","No","No","No",8,17,"Yes"
"1752",10088,"No",20,"Single","4",12.51,"10",0,0,0,"No","21","No","No","Yes","No",1,4,"No"
"1753",10089,"No",38,"United","5",12.51,"10",0,0,0,"No","23","No","No","Yes","No",1,4,"Yes"
"1754",10099,"No",32,"United","5",19.47,"10",1,0,0,"No","23","No","No","No","No",0,2,"Yes"
"1755",10092,"No",28,"Single","3",5.11,"1",1,0,0,"No","22","No","No","No","No",2,9,"Yes"
"1756",10100,"No",31,"United","5",19.47,"10",1,0,0,"No","23","No","No","No","No",0,2,"Yes"
"1757",10105,"No",26,"Single","3",4.37,"1",0,0,0,"No","13","Yes","No","No","No",6,14,"No"
"1758",9106,"No",33,"Desunited","5",32.81,"10",18,0,0,"No","23","No","No","No","Yes",10,19,"Yes"
"1759",9096,"No",44,"United","5",13.33,"10",19,0,0,"No","21","No","No","No","No",1,4,"Yes"
"1760",9121,"No",42,"Single","6",17.1,"10",18,0,0,"No","21","No","No","Yes","No",1,5,"No"
"1761",9125,"No",36,"United","3",5.47,"1",18,1,0,"No","13","Yes","No","No","No",1,4,"Yes"
"1762",9138,"No",26,"United","3",4.25,"1",18,1,0,"No","10","Yes","No","No","Yes",2,6,"Yes"
"1763",9146,"No",34,"Desunited","5",12.63,"1",18,0,0,"No","13","Yes","No","No","No",8,15,"No"
"1764",9061,"No",23,"Single","5",4.23,"1",19,0,1,"No","21","No","No","Yes","No",0,3,"No"
"1765",9156,"No",59,"United","2",7.77,"1",18,0,0,"No","30","No","No","No","No",1,4,"No"
"1766",9178,"No",27,"Single","5",12.63,"1",17,0,0,"No","13","Yes","No","No","No",16,23,"No"
"1767",9094,"No",45,"Single","5",12.32,"1",18,1,0,"No","2","Yes","No","No","Yes",1,4,"Yes"
"1768",9143,"No",35,"Single","5",31.21,"10",18,0,0,"No","23","No","No","No","No",14,27,"No"
"1769",9144,"No",42,"Single","5",5.87,"10",18,0,0,"No","21","No","No","No","No",1,5,"Yes"
"1770",9161,"No",30,"United","3",5.47,"1",18,1,0,"No","13","Yes","No","No","No",0,3,"Yes"
"1771",9155,"No",28,"United","3",5.47,"1",18,1,0,"No","13","Yes","No","No","No",7,14,"No"
"1772",9167,"No",29,"Single","3",5.47,"1",18,1,0,"No","13","Yes","No","No","No",3,8,"No"
"1773",9075,"No",23,"Single","3",5,"1",19,1,0,"No","13","No","No","No","No",12,21,"No"
"1774",9176,"No",46,"Single","5",30.95,"10",18,0,0,"No","23","No","No","No","No",39,40,"No"
"1775",9202,"No",33,"Single","3",5.47,"1",17,0,1,"Yes","13","Yes","No","No","No",4,11,"No"
"1776",9214,"No",34,"United","3",5.47,"1",17,1,0,"No","13","Yes","No","No","Yes",2,7,"Yes"
"1777",9221,"No",22,"Single","5",12.51,"10",17,0,1,"Yes","21","No","No","No","No",0,3,"No"
"1778",7603,"No",53,"Single","3",5.34,"1",43,0,0,"No","1","No","No","No","No",2,8,"No"
"1779",7609,"No",29,"Single","3",5.43,"1",42,0,0,"No","13","Yes","No","No","No",1,5,"No"
"1780",7610,"No",27,"Single","3",5.47,"1",43,0,0,"No","13","Yes","No","No","Yes",1,5,"Yes"
"1781",7623,"No",38,"Single","3",5.47,"1",43,1,0,"No","13","Yes","No","No","No",8,15,"Yes"
"1782",7590,"No",56,"Single","5",24.83,"1",42,1,0,"No","2","Yes","No","No","No",1,6,"No"
"1783",7624,"No",29,"Single","5",10.28,"1",42,2,0,"No","13","Yes","No","No","No",1,5,"No"
"1784",7605,"No",38,"United","5",10.69,"10",43,2,1,"No","21","No","No","No","No",0,1,"Yes"
"1785",7613,"No",37,"United","3",5.47,"1",43,1,0,"No","13","Yes","No","No","Yes",6,17,"Yes"
"1786",7616,"No",39,"Single","5",12.43,"1",42,1,0,"No","14","Yes","No","No","No",0,4,"No"
"1787",7619,"No",26,"Single","2",4.25,"1",43,1,0,"No","10","Yes","No","No","Yes",2,6,"Yes"
"1788",7655,"No",30,"Single","5",13.33,"10",42,0,0,"No","23","No","No","Yes","No",3,10,"No"
"1789",7628,"No",22,"Single","4",12.51,"10",42,0,1,"No","21","No","No","No","No",1,5,"No"
"1790",7653,"No",52,"United","3",3.5,"1",42,1,0,"No","28","No","No","No","No",1,5,"No"
"1791",7667,"No",43,"Single","5",24.83,"1",42,1,0,"No","2","Yes","No","No","No",18,19,"Yes"
"1792",7669,"No",36,"United","3",5.47,"1",42,1,0,"No","13","Yes","No","No","Yes",7,14,"Yes"
"1793",7676,"No",41,"Single","5",12.63,"1",41,1,0,"No","13","Yes","No","No","No",9,18,"No"
"1794",7688,"No",43,"United","3",6.3,"1",41,5,1,"No","22","No","No","No","No",3,7,"No"
"1795",7710,"No",44,"United","5",12,"1",41,0,0,"No","10","No","No","Yes","No",1,3,"No"
"1796",7717,"No",26,"Single","3",5.47,"1",40,1,0,"No","13","Yes","No","Yes","No",11,21,"Yes"
"1797",7721,"No",32,"Single","3",5.47,"1",40,1,0,"No","13","Yes","No","No","Yes",16,20,"Yes"
"1798",7672,"No",33,"United","3",6.68,"1",42,3,1,"No","14","Yes","No","No","No",7,14,"No"
"1799",7671,"No",35,"United","3",5.47,"1",42,1,0,"No","10","Yes","No","No","No",8,16,"Yes"
"1800",7678,"No",43,"United","3",5.47,"1",41,1,0,"No","13","Yes","No","No","No",4,10,"Yes"
"1801",7716,"No",30,"United","4",8.23,"1",40,2,0,"No","9","No","No","No","Yes",8,19,"No"
"1802",7729,"No",35,"Single","3",5.53,"1",40,0,2,"No","22","No","No","Yes","No",20,38,"No"
"1803",7741,"No",33,"Single","3",5.47,"1",40,1,0,"No","13","Yes","No","No","Yes",7,19,"Yes"
"1804",6247,"No",37,"Single","3",5.47,"1",58,0,0,"No","13","Yes","No","Yes","Yes",18,29,"No"
"1805",6251,"No",31,"Single","3",5.47,"1",58,0,0,"No","13","Yes","No","No","No",5,12,"Yes"
"1806",6254,"No",28,"Single","3",5.47,"1",58,0,0,"No","13","Yes","No","Yes","No",1,3,"No"
"1807",6257,"No",36,"Single","3",5.47,"1",58,1,0,"No","13","Yes","No","Yes","Yes",6,16,"Yes"
"1808",6277,"No",37,"United","3",5.47,"1",58,0,0,"No","13","Yes","No","No","Yes",17,21,"No"
"1809",6332,"No",25,"Single","2",4.56,"1",57,0,0,"No","1","No","No","No","No",4,11,"No"
"1810",6368,"No",34,"Single","3",5.47,"1",57,0,0,"No","13","Yes","No","No","No",10,18,"Yes"
"1811",6373,"No",34,"Single","3",5.47,"1",57,0,0,"No","13","Yes","No","Yes","No",9,19,"No"
"1812",6374,"No",26,"Single","3",6.68,"1",57,4,1,"No","8","Yes","No","No","No",16,21,"No"
"1813",6381,"No",30,"Single","3",5.47,"1",57,0,0,"No","13","Yes","No","No","Yes",2,7,"Yes"
"1814",6387,"No",28,"United","3",5.47,"1",57,2,1,"No","9","Yes","No","No","No",8,20,"Yes"
"1815",6411,"No",31,"Single","5",8.27,"1",57,2,1,"Yes","21","No","No","No","No",0,2,"No"
"1816",6479,"No",38,"United","3",5.47,"1",56,2,1,"No","9","Yes","No","No","No",5,15,"Yes"
"1817",6480,"No",46,"Single","3",4.24,"1",56,2,0,"No","28","Yes","No","No","Yes",7,15,"No"
"1818",6404,"No",39,"Single","4",13.33,"10",58,0,0,"No","23","No","No","Yes","No",2,8,"No"
"1819",6441,"No",24,"Single","3",6.68,"1",56,3,0,"No","11","Yes","No","No","Yes",17,20,"Yes"
"1820",6458,"No",24,"Single","3",5.47,"1",56,1,0,"No","13","Yes","No","Yes","No",12,21,"No"
"1821",6460,"No",29,"Single","3",5.47,"1",56,1,0,"No","13","Yes","No","No","No",1,6,"Yes"
"1822",6462,"No",38,"Single","3",4.25,"1",56,1,0,"No","1","Yes","No","No","No",3,8,"No"
"1823",6537,"No",45,"Desunited","3",5.47,"1",55,2,1,"No","9","Yes","No","No","No",6,15,"No"
"1824",6539,"No",26,"Single","3",5.47,"1",55,2,1,"No","9","Yes","No","No","No",7,17,"Yes"
"1825",6541,"No",30,"Single","5",32.92,"10",56,0,1,"No","13","Yes","No","No","No",2,6,"No"
"1826",6689,"No",28,"Single","5",18.87,"1",54,1,1,"No","2","Yes","No","No","Yes",0,3,"No"
"1827",6652,"No",34,"Single","3",5.47,"1",54,1,0,"No","13","Yes","No","Yes","No",5,14,"No"
"1828",3748,"No",33,"Single","5",14.2,"10",83,0,1,"Yes","23","No","No","Yes","Yes",6,10,"Yes"
"1829",3761,"No",34,"Single","3",5.47,"1",83,1,0,"No","13","Yes","No","No","No",5,13,"Yes"
"1830",3795,"No",51,"United","2",3.35,"1",82,1,0,"No","1","No","No","No","No",3,12,"No"
"1831",3810,"No",49,"Desunited","5",17.71,"1",81,3,2,"Yes","9","No","No","No","No",5,12,"No"
"1832",3770,"No",36,"United","5",9.12,"1",83,0,0,"No","17","No","No","No","Yes",3,7,"Yes"
"1833",3811,"No",29,"Single","3",5.47,"1",82,1,0,"No","13","Yes","No","No","Yes",1,6,"Yes"
"1834",3826,"No",35,"United","5",32.81,"10",82,0,0,"No","21","No","No","No","Yes",2,6,"Yes"
"1835",3742,"No",39,"Single","3",5.47,"1",83,1,0,"No","13","Yes","No","No","No",9,22,"Yes"
"1836",3838,"No",29,"Single","3",4.25,"1",82,1,0,"No","10","Yes","No","No","No",1,6,"No"
"1837",3839,"No",49,"Desunited","3",5.47,"1",82,1,0,"No","13","Yes","No","No","Yes",0,4,"No"
"1838",3855,"No",26,"United","3",5.47,"1",82,1,0,"No","13","Yes","No","No","No",13,23,"No"
"1839",3877,"No",35,"Single","5",15.43,"1",81,1,0,"No","13","Yes","No","No","Yes",0,3,"Yes"
"1840",3945,"No",31,"Single","3",5.47,"1",81,1,0,"No","13","Yes","No","No","Yes",4,11,"Yes"
"1841",3874,"No",46,"Single","2",2.1,"1",81,2,0,"No","22","No","No","No","No",5,15,"No"
"1842",3800,"No",51,"Single","5",34.14,"10",82,0,0,"No","23","No","No","Yes","No",3,10,"No"
